course_name,comment_text,grade_score,course_rating,sentiment_label
Aesthetics,"Neutral feeling, nothing special.",97.5,5,0
Aesthetics,Loved the depth and historical insights!,54,4,1
Aesthetics,Loved the depth and historical insights!,65,3,1
Aesthetics,"Neutral feeling, nothing special.",83,5,0
Aesthetics,I found the materials a bit confusing and poorly organized.,10,2,-1
Aesthetics,"Too theoretical, lacked real-world examples.",15,1,-1
Aesthetics,"Neutral feeling, nothing special.",67.5,5,0
Aesthetics,Loved the depth and historical insights!,80,3,1
Aesthetics,"Brilliant explanations, very engaging!",1,5,1
Aesthetics,"Brilliant explanations, very engaging!",65.5,5,1
Aesthetics,Loved the depth and historical insights!,62,5,1
Aesthetics,"Hard to follow, needs better structure.",42,3,-1
Aesthetics,The quizzes were unclear and frustrating.,97,1,-1
Aesthetics,The quizzes were unclear and frustrating.,11.5,3,-1
Aesthetics,I found the materials a bit confusing and poorly organized.,92,3,-1
Aesthetics,The course is very informative and the instructor is great.,87,5,1
Aesthetics,Excellent content but too fast-paced.,20,3,1
Aesthetics,A good mix of lectures and assignments.,11,4,-1
Aesthetics,Excellent content but too fast-paced.,48,4,1
Aesthetics,The course is very informative and the instructor is great.,76,3,1
Aesthetics,The quizzes were unclear and frustrating.,16.5,5,-1
Aesthetics,"Brilliant explanations, very engaging!",74,5,1
Aesthetics,Loved the depth and historical insights!,95,2,1
Aesthetics,The quizzes were unclear and frustrating.,21,4,-1
Aesthetics,"Neutral feeling, nothing special.",64.5,5,0
Aesthetics,"Neutral feeling, nothing special.",45.5,2,0
Aesthetics,The course is very informative and the instructor is great.,64,4,1
Aesthetics,I found the materials a bit confusing and poorly organized.,84.5,2,-1
Aesthetics,"Too theoretical, lacked real-world examples.",78.5,4,-1
Aesthetics,"Neutral feeling, nothing special.",42,4,0
Aesthetics,"Neutral feeling, nothing special.",63,3,0
Aesthetics,Excellent content but too fast-paced.,60.5,2,1
Aesthetics,The course is very informative and the instructor is great.,53.5,2,1
Aesthetics,The quizzes were unclear and frustrating.,46,5,-1
Aesthetics,Loved the depth and historical insights!,0.5,1,1
Aesthetics,I found the materials a bit confusing and poorly organized.,71.5,2,-1
Aesthetics,A good mix of lectures and assignments.,2,3,-1
Aesthetics,"Hard to follow, needs better structure.",38,4,-1
Aesthetics,A good mix of lectures and assignments.,70.5,4,-1
Aesthetics,The course is very informative and the instructor is great.,92,1,1
Aesthetics,"Hard to follow, needs better structure.",3,1,-1
Aesthetics,"Neutral feeling, nothing special.",37.5,5,0
Aesthetics,A good mix of lectures and assignments.,1,5,-1
Aesthetics,Excellent content but too fast-paced.,33,5,1
Aesthetics,"Brilliant explanations, very engaging!",19.5,1,1
Aesthetics,The quizzes were unclear and frustrating.,9.5,1,-1
Aesthetics,The course is very informative and the instructor is great.,77,2,1
Aesthetics,Loved the depth and historical insights!,38,5,1
Aesthetics,"Too theoretical, lacked real-world examples.",35,2,-1
Aesthetics,Loved the depth and historical insights!,84,2,1
Aesthetics,Loved the depth and historical insights!,11,5,1
Aesthetics,A good mix of lectures and assignments.,82.5,4,-1
Aesthetics,A good mix of lectures and assignments.,91,4,-1
Aesthetics,Excellent content but too fast-paced.,18.5,5,1
Aesthetics,"Brilliant explanations, very engaging!",7.5,2,1
Aesthetics,"Neutral feeling, nothing special.",46.5,3,0
Aesthetics,"Neutral feeling, nothing special.",12,4,0
Aesthetics,"Brilliant explanations, very engaging!",18.5,2,1
Aesthetics,"Brilliant explanations, very engaging!",26,4,1
Aesthetics,The quizzes were unclear and frustrating.,33,3,-1
Aesthetics,"Hard to follow, needs better structure.",81.5,2,-1
Aesthetics,Excellent content but too fast-paced.,28.5,2,1
Aesthetics,"Neutral feeling, nothing special.",23,4,0
Aesthetics,A good mix of lectures and assignments.,4,5,-1
Aesthetics,"Too theoretical, lacked real-world examples.",80.5,4,-1
Aesthetics,I found the materials a bit confusing and poorly organized.,49.5,1,-1
Aesthetics,I found the materials a bit confusing and poorly organized.,44.5,5,-1
Aesthetics,A good mix of lectures and assignments.,11.5,2,-1
Aesthetics,"Hard to follow, needs better structure.",65,1,-1
Aesthetics,I found the materials a bit confusing and poorly organized.,31.5,5,-1
Aesthetics,"Neutral feeling, nothing special.",39.5,3,0
Aesthetics,The course is very informative and the instructor is great.,14.5,1,1
Aesthetics,Loved the depth and historical insights!,43.5,5,1
Aesthetics,The course is very informative and the instructor is great.,17.5,4,1
Aesthetics,A good mix of lectures and assignments.,85.5,5,-1
Aesthetics,Loved the depth and historical insights!,98.5,3,1
Aesthetics,"Brilliant explanations, very engaging!",39.5,3,1
Aesthetics,"Too theoretical, lacked real-world examples.",55.5,1,-1
Aesthetics,The course is very informative and the instructor is great.,26,1,1
Aesthetics,The quizzes were unclear and frustrating.,37.5,2,-1
Aesthetics,Excellent content but too fast-paced.,99,4,1
Aesthetics,Excellent content but too fast-paced.,73.5,2,1
Aesthetics,A good mix of lectures and assignments.,94.5,3,-1
Aesthetics,"Brilliant explanations, very engaging!",24.5,2,1
Aesthetics,Loved the depth and historical insights!,30.5,3,1
Aesthetics,Loved the depth and historical insights!,61,3,1
Aesthetics,Excellent content but too fast-paced.,3,5,1
Aesthetics,The course is very informative and the instructor is great.,22,1,1
Aesthetics,A good mix of lectures and assignments.,86.5,2,-1
Aesthetics,Excellent content but too fast-paced.,24.5,1,1
Aesthetics,"Too theoretical, lacked real-world examples.",61,3,-1
Aesthetics,"Brilliant explanations, very engaging!",8.5,2,1
Aesthetics,Loved the depth and historical insights!,79.5,5,1
Aesthetics,"Too theoretical, lacked real-world examples.",38.5,4,-1
Aesthetics,"Hard to follow, needs better structure.",91,4,-1
Aesthetics,Excellent content but too fast-paced.,16,3,1
Aesthetics,The course is very informative and the instructor is great.,47.5,5,1
Aesthetics,"Hard to follow, needs better structure.",16,1,-1
Aesthetics,The quizzes were unclear and frustrating.,20.5,5,-1
Aesthetics,"Hard to follow, needs better structure.",32.5,5,-1
Aesthetics,The course is very informative and the instructor is great.,68,4,1
Aesthetics,A good mix of lectures and assignments.,14,4,-1
Aesthetics,"Too theoretical, lacked real-world examples.",96.5,5,-1
Aesthetics,"Too theoretical, lacked real-world examples.",78.5,5,-1
Aesthetics,Loved the depth and historical insights!,16.5,5,1
Aesthetics,The quizzes were unclear and frustrating.,57,5,-1
Aesthetics,The course is very informative and the instructor is great.,4,4,1
Aesthetics,The course is very informative and the instructor is great.,86,1,1
Aesthetics,I found the materials a bit confusing and poorly organized.,34.5,4,-1
Aesthetics,The course is very informative and the instructor is great.,72.5,3,1
Aesthetics,"Too theoretical, lacked real-world examples.",61,2,-1
Aesthetics,Excellent content but too fast-paced.,75,3,1
Aesthetics,A good mix of lectures and assignments.,69.5,2,-1
Aesthetics,Loved the depth and historical insights!,31,5,1
Aesthetics,Loved the depth and historical insights!,67,4,1
Aesthetics,A good mix of lectures and assignments.,77,4,-1
Aesthetics,"Neutral feeling, nothing special.",29,5,0
Aesthetics,The quizzes were unclear and frustrating.,16.5,2,-1
Aesthetics,I found the materials a bit confusing and poorly organized.,47,1,-1
Aesthetics,A good mix of lectures and assignments.,54,2,-1
Aesthetics,"Hard to follow, needs better structure.",47,1,-1
Aesthetics,"Too theoretical, lacked real-world examples.",10.5,2,-1
Aesthetics,"Hard to follow, needs better structure.",34,4,-1
Aesthetics,"Neutral feeling, nothing special.",81.5,4,0
Aesthetics,"Too theoretical, lacked real-world examples.",96.5,5,-1
Aesthetics,I found the materials a bit confusing and poorly organized.,88.5,5,-1
Aesthetics,A good mix of lectures and assignments.,56,5,-1
Aesthetics,"Brilliant explanations, very engaging!",64,2,1
Aesthetics,"Neutral feeling, nothing special.",42,1,0
Aesthetics,"Hard to follow, needs better structure.",20,4,-1
Aesthetics,"Hard to follow, needs better structure.",83,3,-1
Aesthetics,The course is very informative and the instructor is great.,44.5,1,1
Aesthetics,"Hard to follow, needs better structure.",20,5,-1
Aesthetics,"Hard to follow, needs better structure.",55.5,4,-1
Aesthetics,The quizzes were unclear and frustrating.,32,5,-1
Aesthetics,Excellent content but too fast-paced.,99.5,4,1
Aesthetics,I found the materials a bit confusing and poorly organized.,24,4,-1
Aesthetics,The course is very informative and the instructor is great.,37.5,3,1
Aesthetics,The quizzes were unclear and frustrating.,18,4,-1
Aesthetics,The course is very informative and the instructor is great.,20.5,2,1
Aesthetics,Loved the depth and historical insights!,74.5,5,1
Aesthetics,Excellent content but too fast-paced.,60.5,4,1
Aesthetics,"Neutral feeling, nothing special.",42,4,0
Aesthetics,Loved the depth and historical insights!,29.5,1,1
Aesthetics,"Hard to follow, needs better structure.",47.5,3,-1
Aesthetics,"Neutral feeling, nothing special.",55,1,0
Aesthetics,The course is very informative and the instructor is great.,95.5,5,1
Aesthetics,"Hard to follow, needs better structure.",63.5,2,-1
Aesthetics,I found the materials a bit confusing and poorly organized.,7,5,-1
Aesthetics,"Too theoretical, lacked real-world examples.",51.5,3,-1
Aesthetics,I found the materials a bit confusing and poorly organized.,23.5,1,-1
Aesthetics,Excellent content but too fast-paced.,99.5,2,1
Aesthetics,Loved the depth and historical insights!,66,4,1
Aesthetics,I found the materials a bit confusing and poorly organized.,55.5,4,-1
Aesthetics,"Hard to follow, needs better structure.",95.5,3,-1
Aesthetics,The course is very informative and the instructor is great.,66.5,4,1
Aesthetics,"Brilliant explanations, very engaging!",97.5,4,1
Aesthetics,"Neutral feeling, nothing special.",24.5,5,0
Aesthetics,I found the materials a bit confusing and poorly organized.,41,1,-1
Aesthetics,"Too theoretical, lacked real-world examples.",52.5,3,-1
Aesthetics,"Neutral feeling, nothing special.",93.5,5,0
Aesthetics,Loved the depth and historical insights!,95.5,5,1
Aesthetics,Excellent content but too fast-paced.,44.5,5,1
Aesthetics,"Hard to follow, needs better structure.",50.5,3,-1
Aesthetics,Loved the depth and historical insights!,48.5,1,1
Aesthetics,"Too theoretical, lacked real-world examples.",96,2,-1
Aesthetics,"Too theoretical, lacked real-world examples.",77.5,3,-1
Aesthetics,I found the materials a bit confusing and poorly organized.,25,1,-1
Aesthetics,A good mix of lectures and assignments.,9.5,4,-1
Aesthetics,The quizzes were unclear and frustrating.,9.5,2,-1
Aesthetics,Excellent content but too fast-paced.,92.5,3,1
Aesthetics,"Brilliant explanations, very engaging!",38.5,5,1
Aesthetics,The quizzes were unclear and frustrating.,15,5,-1
Aesthetics,"Hard to follow, needs better structure.",44,5,-1
Aesthetics,"Too theoretical, lacked real-world examples.",13,3,-1
Aesthetics,"Brilliant explanations, very engaging!",22.5,3,1
Aesthetics,"Hard to follow, needs better structure.",37,4,-1
Aesthetics,"Neutral feeling, nothing special.",16.5,2,0
Aesthetics,"Too theoretical, lacked real-world examples.",7.5,5,-1
Aesthetics,The quizzes were unclear and frustrating.,56.5,5,-1
Aesthetics,Loved the depth and historical insights!,92.5,3,1
Aesthetics,I found the materials a bit confusing and poorly organized.,47,2,-1
Aesthetics,"Too theoretical, lacked real-world examples.",47.5,1,-1
Aesthetics,"Too theoretical, lacked real-world examples.",78.5,1,-1
Aesthetics,A good mix of lectures and assignments.,17,4,-1
Aesthetics,"Neutral feeling, nothing special.",72.5,1,0
Aesthetics,Loved the depth and historical insights!,53,5,1
Aesthetics,Excellent content but too fast-paced.,32.5,4,1
Aesthetics,Loved the depth and historical insights!,34,4,1
Aesthetics,The course is very informative and the instructor is great.,74.5,1,1
Aesthetics,Excellent content but too fast-paced.,77,1,1
Aesthetics,"Too theoretical, lacked real-world examples.",70.5,4,-1
Aesthetics,The course is very informative and the instructor is great.,7.5,3,1
Aesthetics,Loved the depth and historical insights!,44,5,1
Aesthetics,"Hard to follow, needs better structure.",46,2,-1
Aesthetics,"Too theoretical, lacked real-world examples.",3,3,-1
Aesthetics,The quizzes were unclear and frustrating.,40,5,-1
Aesthetics,"Hard to follow, needs better structure.",15,1,-1
Aesthetics,Excellent content but too fast-paced.,49.5,1,1
Aesthetics,"Neutral feeling, nothing special.",0,1,0
Aesthetics,"Hard to follow, needs better structure.",82,1,-1
Aesthetics,I found the materials a bit confusing and poorly organized.,45.5,3,-1
Aesthetics,The quizzes were unclear and frustrating.,19,5,-1
Aesthetics,I found the materials a bit confusing and poorly organized.,11,5,-1
Aesthetics,"Too theoretical, lacked real-world examples.",54.5,3,-1
Aesthetics,"Hard to follow, needs better structure.",91,5,-1
Aesthetics,"Too theoretical, lacked real-world examples.",45.5,3,-1
Aesthetics,A good mix of lectures and assignments.,53,3,-1
Aesthetics,Excellent content but too fast-paced.,32,2,1
Aesthetics,"Neutral feeling, nothing special.",1.5,2,0
Aesthetics,"Brilliant explanations, very engaging!",6.5,3,1
Aesthetics,"Neutral feeling, nothing special.",38.5,2,0
Aesthetics,A good mix of lectures and assignments.,100,5,-1
Aesthetics,"Too theoretical, lacked real-world examples.",47.5,3,-1
Aesthetics,Loved the depth and historical insights!,23,2,1
Aesthetics,"Neutral feeling, nothing special.",31,5,0
Aesthetics,I found the materials a bit confusing and poorly organized.,2.5,1,-1
Aesthetics,Loved the depth and historical insights!,99.5,1,1
Aesthetics,A good mix of lectures and assignments.,12.5,4,-1
Aesthetics,Loved the depth and historical insights!,25,5,1
Aesthetics,The quizzes were unclear and frustrating.,70,3,-1
Aesthetics,Loved the depth and historical insights!,85,4,1
Aesthetics,"Too theoretical, lacked real-world examples.",73.5,4,-1
Aesthetics,"Too theoretical, lacked real-world examples.",26.5,4,-1
Aesthetics,A good mix of lectures and assignments.,81,2,-1
Aesthetics,The quizzes were unclear and frustrating.,8.5,4,-1
Aesthetics,"Hard to follow, needs better structure.",87,1,-1
Aesthetics,The course is very informative and the instructor is great.,24.5,4,1
Aesthetics,"Too theoretical, lacked real-world examples.",88,1,-1
Aesthetics,The quizzes were unclear and frustrating.,66.5,1,-1
Aesthetics,A good mix of lectures and assignments.,74.5,5,-1
Aesthetics,"Neutral feeling, nothing special.",21.5,1,0
Aesthetics,The quizzes were unclear and frustrating.,40.5,1,-1
Aesthetics,The quizzes were unclear and frustrating.,69.5,1,-1
Aesthetics,"Neutral feeling, nothing special.",1.5,2,0
Aesthetics,I found the materials a bit confusing and poorly organized.,22,5,-1
Aesthetics,"Hard to follow, needs better structure.",2,2,-1
Aesthetics,Loved the depth and historical insights!,71.5,1,1
Aesthetics,Excellent content but too fast-paced.,70.5,2,1
Aesthetics,Loved the depth and historical insights!,90,3,1
Aesthetics,"Neutral feeling, nothing special.",75.5,4,0
Aesthetics,I found the materials a bit confusing and poorly organized.,20,2,-1
Aesthetics,Loved the depth and historical insights!,4.5,3,1
Aesthetics,The course is very informative and the instructor is great.,34,2,1
Aesthetics,I found the materials a bit confusing and poorly organized.,12.5,2,-1
Aesthetics,"Hard to follow, needs better structure.",65.5,3,-1
Aesthetics,"Neutral feeling, nothing special.",64.5,3,0
Aesthetics,The quizzes were unclear and frustrating.,57.5,2,-1
Aesthetics,"Hard to follow, needs better structure.",11,4,-1
Aesthetics,"Hard to follow, needs better structure.",81.5,5,-1
Aesthetics,I found the materials a bit confusing and poorly organized.,4.5,3,-1
Aesthetics,"Hard to follow, needs better structure.",80,1,-1
Aesthetics,"Hard to follow, needs better structure.",12.5,5,-1
Aesthetics,"Hard to follow, needs better structure.",66,5,-1
Aesthetics,"Hard to follow, needs better structure.",12,3,-1
Aesthetics,I found the materials a bit confusing and poorly organized.,43,1,-1
Aesthetics,Excellent content but too fast-paced.,41.5,3,1
Aesthetics,I found the materials a bit confusing and poorly organized.,59,2,-1
Aesthetics,"Hard to follow, needs better structure.",50.5,1,-1
Aesthetics,Loved the depth and historical insights!,74.5,3,1
Aesthetics,The course is very informative and the instructor is great.,51,2,1
Aesthetics,"Hard to follow, needs better structure.",62,5,-1
Aesthetics,I found the materials a bit confusing and poorly organized.,99.5,4,-1
Aesthetics,A good mix of lectures and assignments.,45,3,-1
Aesthetics,The course is very informative and the instructor is great.,65,2,1
Aesthetics,"Neutral feeling, nothing special.",69.5,3,0
Aesthetics,"Brilliant explanations, very engaging!",19.5,2,1
Aesthetics,The quizzes were unclear and frustrating.,80.5,3,-1
Aesthetics,"Hard to follow, needs better structure.",79.5,1,-1
Aesthetics,"Too theoretical, lacked real-world examples.",6.5,4,-1
Aesthetics,I found the materials a bit confusing and poorly organized.,18,5,-1
Aesthetics,I found the materials a bit confusing and poorly organized.,42,4,-1
Aesthetics,Loved the depth and historical insights!,46.5,1,1
Aesthetics,I found the materials a bit confusing and poorly organized.,88.5,1,-1
Aesthetics,A good mix of lectures and assignments.,19.5,3,-1
Aesthetics,Loved the depth and historical insights!,94,4,1
Aesthetics,The quizzes were unclear and frustrating.,33,4,-1
Aesthetics,Loved the depth and historical insights!,65,4,1
Aesthetics,"Too theoretical, lacked real-world examples.",56,1,-1
Aesthetics,I found the materials a bit confusing and poorly organized.,1,5,-1
Aesthetics,Loved the depth and historical insights!,76,4,1
Aesthetics,The quizzes were unclear and frustrating.,83,5,-1
Aesthetics,The course is very informative and the instructor is great.,6,2,1
Aesthetics,I found the materials a bit confusing and poorly organized.,69,2,-1
Aesthetics,"Hard to follow, needs better structure.",88,5,-1
Aesthetics,"Too theoretical, lacked real-world examples.",21,5,-1
Aesthetics,"Neutral feeling, nothing special.",80,3,0
Aesthetics,"Neutral feeling, nothing special.",98,4,0
Aesthetics,"Neutral feeling, nothing special.",41.5,3,0
Aesthetics,I found the materials a bit confusing and poorly organized.,28,1,-1
Aesthetics,I found the materials a bit confusing and poorly organized.,58,4,-1
Aesthetics,"Neutral feeling, nothing special.",42.5,3,0
Aesthetics,"Hard to follow, needs better structure.",9.5,1,-1
Aesthetics,I found the materials a bit confusing and poorly organized.,66.5,3,-1
Aesthetics,"Too theoretical, lacked real-world examples.",40.5,4,-1
Aesthetics,"Brilliant explanations, very engaging!",14,2,1
Aesthetics,Excellent content but too fast-paced.,79.5,5,1
Aesthetics,"Hard to follow, needs better structure.",86.5,5,-1
Aesthetics,Loved the depth and historical insights!,80.5,5,1
Aesthetics,The course is very informative and the instructor is great.,17,5,1
Aesthetics,"Neutral feeling, nothing special.",28,5,0
Aesthetics,"Neutral feeling, nothing special.",51.5,5,0
Aesthetics,The course is very informative and the instructor is great.,16,3,1
Aesthetics,"Neutral feeling, nothing special.",66,4,0
Aesthetics,"Brilliant explanations, very engaging!",10.5,3,1
Aesthetics,"Hard to follow, needs better structure.",37,2,-1
Aesthetics,"Hard to follow, needs better structure.",59,3,-1
Aesthetics,"Hard to follow, needs better structure.",45.5,1,-1
Aesthetics,"Hard to follow, needs better structure.",16.5,5,-1
Aesthetics,"Brilliant explanations, very engaging!",6.5,3,1
Aesthetics,"Neutral feeling, nothing special.",17.5,2,0
Aesthetics,"Brilliant explanations, very engaging!",93.5,5,1
Aesthetics,"Hard to follow, needs better structure.",89.5,3,-1
Aesthetics,I found the materials a bit confusing and poorly organized.,92.5,1,-1
Aesthetics,"Brilliant explanations, very engaging!",68,5,1
Aesthetics,A good mix of lectures and assignments.,98.5,1,-1
Aesthetics,A good mix of lectures and assignments.,55.5,2,-1
Aesthetics,The course is very informative and the instructor is great.,83,3,1
Aesthetics,I found the materials a bit confusing and poorly organized.,64,2,-1
Aesthetics,"Hard to follow, needs better structure.",30,3,-1
Aesthetics,The course is very informative and the instructor is great.,22.5,2,1
Aesthetics,"Too theoretical, lacked real-world examples.",6,4,-1
Aesthetics,The course is very informative and the instructor is great.,57.5,5,1
Aesthetics,"Too theoretical, lacked real-world examples.",0,1,-1
Aesthetics,The quizzes were unclear and frustrating.,78,5,-1
Aesthetics,Loved the depth and historical insights!,26.5,1,1
Aesthetics,"Too theoretical, lacked real-world examples.",28.5,1,-1
Aesthetics,Excellent content but too fast-paced.,71,5,1
Aesthetics,"Hard to follow, needs better structure.",69,3,-1
Aesthetics,A good mix of lectures and assignments.,92.5,5,-1
Aesthetics,"Hard to follow, needs better structure.",18.5,5,-1
Aesthetics,Loved the depth and historical insights!,81,4,1
Aesthetics,A good mix of lectures and assignments.,32.5,2,-1
Aesthetics,"Too theoretical, lacked real-world examples.",18,3,-1
Aesthetics,A good mix of lectures and assignments.,21.5,4,-1
Aesthetics,"Brilliant explanations, very engaging!",62.5,3,1
Aesthetics,The course is very informative and the instructor is great.,93,1,1
Aesthetics,Loved the depth and historical insights!,80.5,4,1
Aesthetics,I found the materials a bit confusing and poorly organized.,13.5,3,-1
Aesthetics,The course is very informative and the instructor is great.,44,4,1
